Country Name,Country Code,Indicator Name,Indicator Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Antigua and Barbuda,ATG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,9.579999924,10.72999954,10.86999989,9.720000267,8.470000267,8.510000229,8.359999657,7.679999828,6.869999886,6.28000021,6.739999771,6.369999886,5.929999828,5.389999866,5.03000021,4.78000021,4.380000114,4.230000019,5.559999943,5.210000038,5.079999924,5.21999979,5.659999847,6.079999924,6.050000191,5.710000038,5.590000153,5.300000191,5.159999847,6.460000038,5.119999886
Austria,AUT,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,3.420000076,3.589999914,4.25,3.539999962,4.340000153,5.28000021,5.150000095,5.480000019,4.699999809,4.690000057,4.010000229,4.849999905,4.78000021,5.829999924,5.630000114,5.239999771,4.860000134,4.130000114,5.300000191,4.820000172,4.559999943,4.869999886,5.340000153,5.619999886,5.71999979,6.010000229,5.5,4.849999905,4.489999771,5.360000134,6.179999828
Azerbaijan,AZE,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,0.899999976,1.799999952,4.5,6.300000191,7.199999809,8.100000381,9.100000381,10,10.89999962,11.77999973,10.90999985,10.03999996,9.170000076,7.989999771,7.260000229,6.619999886,6.329999924,5.860000134,5.739999771,5.630000114,5.420000076,5.190000057,4.96999979,4.909999847,4.960000038,5,4.960000038,4.940000057,4.849999905,7.159999847,5.949999809
Burundi,BDI,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2.615999937,2.688999891,2.812000036,2.819000006,2.89199996,2.933000088,2.897000074,2.858999968,2.961999893,2.997999907,3.003000021,3.013999939,3.125999928,3.094000101,3.188999891,3.180000067,2.423000097,1.629999995,1.625,1.605999947,1.601999998,1.588999987,1.575999975,1.570000052,1.476999998,1.315000057,1.166000009,1.01699996,0.870999992,1.029999971,1.131999969
Belgium,BEL,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,6.980000019,6.699999809,8.079999924,9.649999619,9.340000153,9.479999542,8.949999809,9.319999695,8.649999619,6.590000153,6.179999828,6.909999847,7.679999828,7.360000134,8.43999958,8.25,7.460000038,6.980000019,7.909999847,8.289999962,7.139999866,7.539999962,8.430000305,8.520000458,8.479999542,7.829999924,7.090000153,5.949999809,5.360000134,5.550000191,6.260000229
Benin,BEN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,1.483999968,1.50999999,1.396000028,1.35800004,1.236999989,1.174999952,1.082999945,1.018000007,0.926999986,0.842999995,0.765999973,0.689999998,0.737999976,0.773000002,0.832000017,0.859000027,0.885999978,0.935000002,0.995999992,1.039999962,2.650000095,2.453999996,2.253999949,2.111000061,2.023000002,1.835999966,1.643000007,1.470000029,1.465999961,1.671000004,1.751999974
Burkina Faso,BFA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2.552999973,2.627000093,2.575999975,2.579999924,2.513999939,2.440999985,2.467999935,2.440000057,2.507999897,2.63499999,2.654000044,2.749000072,2.779999971,3.441999912,4,3.657999992,3.299999952,3.405999899,3.573999882,3.625999928,3.779999971,3.911999941,4.052000046,4.205999851,4.343999863,4.440000057,4.565999985,4.690000057,4.69299984,5.054999828,5.231999874
Bangladesh,BGD,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2.200000048,2.295000076,2.338999987,2.381000042,2.463999987,2.50999999,2.694000006,2.894999981,3.068000078,3.269999981,3.618000031,3.934000015,4.320000172,4.271999836,4.25,3.589999914,4.092000008,4.547999859,5,3.380000114,3.75,4.098999977,4.429999828,4.393000126,4.370999813,4.349999905,4.369999886,4.380000114,4.381999969,5.209000111,5.097000122
Bulgaria,BGR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,11.10000038,15.30000019,16.39999962,12.80000019,11.10000038,12.5,13.69999981,12.19999981,14.10000038,16.21999931,19.92000008,18.11000061,13.72999954,12.03999996,10.07999992,8.949999809,6.880000114,5.610000134,6.820000172,10.27999973,11.26000023,12.27000046,12.93999958,11.42000008,9.140000343,7.570000172,6.159999847,5.210000038,4.230000019,5.119999886,5.269999981
Bahrain,BHR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,1.06099999,1.101999998,1.049999952,1.167000055,1.128000021,1.126999974,1.136000037,1.121000051,1.126000047,1.116999984,1.144000053,1.136000037,1.110000014,1.103000045,1.103999972,1.106999993,1.090999961,1.110000014,1.144000053,1.129999995,1.184999943,1.200000048,1.177999973,1.184000015,1.197000027,1.180999994,1.16900003,1.184999943,1.180999994,1.674000025,1.531999946
"Bahamas, The",BHS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,12.17000008,14.81000042,12.72000027,13.82999992,10.82999992,11.46000004,9.760000229,7.650000095,7.449999809,7.196000099,6.869999886,9.050000191,10.84000015,10.19999981,10.19999981,7.539999962,7.880000114,8.180000305,14.25,14.3210001,14.52000046,14.02000046,16.18000031,13.80000019,12,12.69999981,9.800000191,10,10.05099964,12.86699963,11.66499996
Bosnia and Herzegovina,BIH,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,17.54999924,18.30800056,19.34499931,20.76799965,21.84199905,22.8409996,23.67900085,24.54199982,25.13800049,26.18899918,26.53700066,27.55400085,28.37100029,29.39299965,30.13599968,31.11000061,28.97999954,23.40999985,24.06999969,27.30999947,27.57999992,28.01000023,27.48999977,27.52000046,27.69000053,25.40999985,20.53000069,18.39999962,15.68999958,15.26500034,14.89999962
Belarus,BLR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,0.600000024,3.099999905,8.5,12.80000019,17.70000076,24.39999962,17.10000038,14,12.80000019,12.25399971,11.5369997,10.88500023,10.29899979,9.795999527,9.038999557,8.380999565,7.65899992,7.02699995,6.099999905,6.256999969,6.169000149,6.051000118,6.006999969,5.995999813,5.837999821,5.840000153,5.650000095,4.760000229,4.159999847,4.050000191,3.900000095
Belize,BLZ,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,9.729999542,9.715999603,9.779999733,11.10000038,12.47999954,13.81999969,12.68000031,14.31000042,12.84000015,10.86900043,9.069999695,10.03999996,10.25699997,10.59399986,10.90999985,9.390000343,8.510000229,8.180000305,8.244000435,8.244000435,8.284000397,8.307999611,8.350000381,8.239999771,7.579999924,7,6.599999905,7.81400013,9.050000191,10.78800011,10.28999996
Bermuda,BMU,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2.980000019,3.262000084,3.088999987,3.079999924,2.752000093,2.440000057,2.079999924,2.130000114,2.431999922,2.372999907,2.479000092,2.49000001,2.532999992,2.503000021,2.542999983,2.575000048,2.642999887,2.599999905,2.970000029,2.614000082,2.25,2.069999933,2.440000057,2.019999981,3.109999895,3.5,3.650000095,3.519999981,3.680000067,7.900000095,5.090000153
Brazil,BRA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,6.366000175,6.420000076,6.03000021,6.46999979,7.090000153,8.029999733,9,10.14999962,11.13000011,10.52999973,10.64999962,10.64000034,11.17000008,10.06999969,10.55000019,9.68999958,9.279999733,8.270000458,9.420000076,8.034000397,7.579999924,7.25,7.070000172,6.760000229,8.56000042,11.73999977,12.93000031,12.46000004,12.05000019,13.93000031,13.34000015
Barbados,BRB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,22.68300056,22.94000053,24.54000092,22.97999954,19.65999985,14.71000004,14.60999966,12.39999962,10.60999966,9.350000381,9.850000381,10.31999969,11,9.569999695,9.079999924,8.729999542,7.409999847,8.119999886,10.02000046,10.68999958,11.18999958,11.59000015,11.55000019,12.17000008,9.800000191,8.25,8.619999886,8.319999695,8.409999847,10.10499954,9.581999779
Brunei Darussalam,BRN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4.699999809,4.823999882,4.862999916,5.004000187,5.125,5.202000141,5.234000206,5.346000195,5.501999855,5.597000122,5.693999767,5.809999943,5.890999794,5.946000099,6.039999962,6.210000038,6.230000019,6.288000107,6.388000011,6.56799984,6.690000057,6.731999874,6.769999981,6.860000134,7.69299984,8.43200016,9.319999695,8.699999809,6.920000076,7.409999847,7.446000099
Bhutan,BTN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,1.481999993,1.49000001,1.462000012,1.460000038,1.453999996,1.430999994,1.414000034,1.399999976,1.399999976,1.625,1.899999976,1.866999984,1.799999952,2.49000001,3.099999905,3.130000114,3.700000048,3.746000051,3.960000038,3.319999933,3.230000019,2.049999952,2.869999886,2.630000114,2.450000048,2.773999929,3.055999994,3.349999905,2.720000029,5.03000021,3.907999992
Botswana,BWA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,13.81999969,16.32500076,18.78499985,21.20000076,21.35000038,21.59000015,21.12599945,20.86000061,18.22900009,15.88000011,18.54000092,21.10499954,23.79999924,21.85199928,19.82900047,17.78000069,17.17200089,16.59000015,16.17000008,17.86000061,18.15200043,18.41600037,18.53800011,18.8939991,19.29899979,19.31500053,19.60300064,19.83799934,20.09000015,21.02000046,21.15500069
Central African Republic,CAF,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5.362999916,5.436999798,5.46600008,5.46999979,5.441999912,5.458000183,5.460999966,5.40500021,5.364999771,5.296999931,5.333000183,5.367000103,5.387000084,5.340000153,5.333000183,5.291999817,5.257999897,5.205999851,5.271999836,5.518000126,5.456999779,5.440000057,5.452000141,5.577000141,5.736999989,5.745999813,5.762000084,5.699999809,5.755000114,6.380000114,6.458000183
Canada,CAN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,10.31999969,11.19999981,11.38000011,10.39999962,9.489999771,9.619999886,9.100000381,8.279999733,7.579999924,6.829999924,7.21999979,7.659999847,7.570000172,7.190000057,6.760000229,6.320000172,6.039999962,6.139999866,8.340000153,8.06000042,7.510000229,7.289999962,7.070000172,6.909999847,6.909999847,7,6.340000153,5.829999924,5.659999847,9.460000038,7.460000038
Central Europe and the Baltics,CEB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,9.223741652,10.10728462,11.53852188,11.38172741,10.84923802,10.1956633,9.16333418,8.953731138,10.38920803,12.44151271,13.22563694,13.73507864,12.95365057,12.93282364,12.05850844,10.10273847,7.808382231,6.607053595,8.489097313,9.901312346,9.788592504,9.978571468,10.04961812,8.953335233,7.820802137,6.490935972,5.297816559,4.316469149,3.780900528,4.370732507,4.484671245
Switzerland,CHE,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,1.820000052,2.809999943,3.549999952,3.579999924,3.089999914,3.680000067,4.130000114,3.569999933,3.049999952,2.660000086,2.49000001,2.920000076,4.119999886,4.320000172,4.440000057,3.99000001,3.640000105,3.349999905,4.110000134,4.809999943,4.409999847,4.489999771,4.75,4.829999924,4.800000191,4.920000076,4.800000191,4.710000038,4.389999866,4.820000172,5.099999905
Channel Islands,CHI,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,6.206999779,6.659999847,7.652999878,7.84800005,7.573999882,7.508999825,7.281000137,6.830999851,6.484000206,5.895999908,5.545000076,5.829999924,6.177999973,6.375,6.30700016,5.999000072,5.677000046,5.75,7.177000046,7.551000118,7.789000034,8.618000031,9.211999893,8.99600029,8.595999718,8.118000031,7.505000114,6.93200016,6.77699995,7.81099987,7.552999973
Chile,CHL,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5.230000019,4.349999905,4.489999771,5.869999886,4.699999809,7.409999847,7.139999866,7.309999943,11.15999985,10.48999977,10.39000034,10.17000008,9.770000458,10.15999985,9.340000153,9.020000458,8.430000305,9.289999962,11.31000042,8.409999847,7.320000172,6.639999866,6.199999809,6.650000095,6.489999771,6.730000019,6.949999809,7.210000038,7.269999981,11.14000034,9.350000381
China,CHN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2.369999886,2.369999886,2.690000057,2.900000095,3,3.119999886,3.230000019,3.24000001,3.25,3.25999999,3.799999952,4.239999771,4.579999924,4.489999771,4.519999981,4.429999828,4.349999905,4.590000153,4.71999979,4.53000021,4.550000191,4.579999924,4.599999905,4.630000114,4.650000095,4.559999943,4.46999979,4.309999943,4.559999943,5,4.550000191
Cote d'Ivoire,CIV,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,6.607999802,6.699999809,5.859000206,5.005000114,4.099999905,4.084000111,4.054999828,4.099999905,4.357999802,4.602000237,4.854000092,5.092000008,5.348999977,5.47300005,5.730000019,5.93200016,6.184999943,6.355999947,6.602000237,6.776000023,7.215000153,7.21999979,4.25,3.474999905,2.697000027,1.899999976,3.269999981,2.835000038,2.400000095,2.660000086,2.816999912
Cameroon,CMR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,7.656000137,7.750999928,7.974999905,7.870999813,7.967999935,8.06000042,7.934000015,7.809999943,7.696000099,7.59100008,7.460000038,6.68900013,5.902999878,5.111000061,4.400000095,3.723999977,3.059999943,3.417999983,3.766000032,4.110000134,3.967000008,3.816999912,3.674999952,3.529999971,3.546000004,3.572000027,3.59800005,3.608999968,3.628999949,3.947000027,4.122000217
"Congo, Dem. Rep.",COD,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,3.039999962,3.042999983,3.049999952,2.993000031,2.961999893,2.963999987,2.980000019,2.953000069,2.957000017,2.960999966,2.927999973,2.894999981,2.872999907,2.857000113,2.849999905,3.086999893,3.315999985,3.551000118,3.806999922,4.017000198,4.254000187,4.489999771,4.467999935,4.448999882,4.456999779,4.479000092,4.459000111,4.434000015,4.43599987,5.126999855,5.111999989
"Congo, Rep.",COG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,20.33099937,20.29899979,20.32699966,20.36800003,20.19099998,20.15600014,20.20499992,20.1079998,20.17399979,19.9810009,20.00200081,19.95800018,19.9810009,19.90299988,19.79999924,19.84700012,20.12199974,19.97500038,19.94300079,20.0189991,20.19000053,20.12199974,20.34000015,20.27400017,20.48500061,20.64800072,20.59199905,20.6439991,20.61199951,22.5170002,22.23500061
Colombia,COL,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,10.11999989,9.43999958,7.800000191,8.25,8.720000267,11.81000042,12.14000034,15,20.05999947,20.52000046,15.03999996,15.63000011,14.18999958,13.72000027,11.86999989,10.9630003,10.25,10.52000046,11.31999969,10.97999954,10.10999966,9.739999771,9.050000191,8.569999695,8.300000191,8.68999958,8.869999886,9.109999657,9.960000038,15.03999996,13.89999962
Comoros,COM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5.221000195,5.020999908,5.043000221,5.096000195,4.953000069,4.964000225,4.861000061,4.847000122,4.796000004,4.657999992,4.703999996,4.659999847,4.616000175,4.570000172,4.918000221,5.27699995,5.657000065,5.972000122,6.339000225,6.68599987,7.037000179,7.407000065,7.739999771,8.140000343,8.140000343,8.081999779,8.055999756,8.043000221,8.062999725,9.031999588,8.979000092
Cabo Verde,CPV,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,11.60700035,11.48099995,11.46500015,11.32800007,11.33300018,11.31799984,11.27700043,11.21899986,11.18500042,11.10999966,11.17000008,11.09000015,11.04699993,10.93799973,10.91300011,10.84700012,10.72500038,10.74300003,10.75399971,10.67000008,10.8739996,11.12699986,11.35700035,11.58600044,11.81000042,12.00199986,12.23999977,12.17000008,12.20699978,14.87800026,13.90999985
Costa Rica,CRI,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5.369999886,3.930000067,3.950000048,4.050000191,5.179999828,6.159999847,5.679999828,5.329999924,5.900000095,5.079999924,5.920000076,6.329999924,6.559999943,6.389999866,6.570000172,5.739999771,4.489999771,4.78000021,7.710000038,7.170000076,9.520000458,9.109999657,8.220000267,8.5,8.420000076,8.090000153,7.730000019,9.010000229,10.81000042,16.43000031,15.14000034
Caribbean small states,CSS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,12.20382923,12.62425621,12.49024767,12.16736903,11.35557536,11.11501928,10.8088023,10.49284624,10.14279204,9.696037286,9.359230303,9.428151174,9.556721981,8.849216814,8.639258037,7.853968098,7.560535222,7.372989933,8.390645126,8.279727488,8.463878374,8.8392104,9.19965921,8.75561829,8.461566088,8.540966104,7.838296807,7.136060084,6.844145222,8.44932438,8.044777541
Cuba,CUB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,7.903999805,8.055999756,8.255000114,8.145999908,8.270000458,7.610000134,7.099999905,6.230000019,6.260000229,5.449999809,4.079999924,3.309999943,2.329999924,1.850000024,1.950000048,1.909999967,1.789999962,1.580000043,1.669999957,2.5,3.180000067,3.460000038,3.289999962,2.700000048,2.400000095,2,1.700000048,1.700000048,1.200000048,1.399999976,1.47300005
Curacao,CUW,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,3,2.089999914,2.700000048,2.700000048,2.599999905,3.099999905,3.400000095,3.299999952,5.699999809,4.96999979,3.980000019,3.299999952,4.139999866,4.329999924,5.300000191,4.539999962,3.920000076,3.650000095,5.360000134,6.260000229,7.860000134,11.80000019,15.86999989,16.09000015,14.90999985,12.94999981,11.05000019,8.369999886,7.070000172,7.590000153,7.460000038
Czechia,CZE,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2.269999981,2.599999905,4.320000172,4.300000191,4.019999981,3.890000105,4.260000229,5.889999866,8.479999542,8.760000229,7.989999771,7.019999981,7.539999962,8.210000038,7.929999828,7.150000095,5.320000172,4.389999866,6.659999847,7.28000021,6.710000038,6.980000019,6.949999809,6.110000134,5.050000191,3.950000048,2.890000105,2.24000001,2.00999999,2.549999952,2.809999943
Germany,DEU,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5.320000172,6.320000172,7.679999828,8.729999542,8.159999847,8.819999695,9.859999657,9.789999962,8.850000381,7.920000076,7.769999981,8.479999542,9.779999733,10.72999954,11.17000008,10.25,8.659999847,7.519999981,7.739999771,6.96999979,5.820000172,5.380000114,5.230000019,4.980000019,4.619999886,4.119999886,3.75,3.380000114,3.140000105,3.859999895,3.569999933
Djibouti,DJI,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,29.88699913,29.68099976,29.74500084,29.49399948,29.4260006,29.30900002,29.11899948,28.95499992,28.75699997,28.6779995,28.52000046,28.35099983,28.21899986,28.09399986,27.94799995,27.76799965,27.61899948,27.45499992,27.40200043,27.19400024,26.97100067,26.87299919,26.7140007,26.51000023,26.33699989,26.1970005,26.05999947,26.14900017,26.31500053,28.04800034,27.95400047
Dominica,DMA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,DNK,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,9.100000381,9.029999733,10.72000027,8.039999962,6.989999771,6.840000153,5.400000095,5.039999962,5.139999866,4.480000019,4.159999847,4.269999981,5.400000095,5.199999809,4.829999924,3.900000095,3.799999952,3.680000067,6.409999847,7.75,7.769999981,7.800000191,7.380000114,6.929999828,6.28000021,5.989999771,5.829999924,5.130000114,5.019999981,5.639999866,5.059999943
Dominican Republic,DOM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,6.431000233,6.294000149,6.342999935,6.413000107,6.379000187,6.382999897,6.352000237,6.388000011,6.40500021,6.429999828,7.260000229,6.78000021,6.940000057,6.300000191,6.590000153,5.650000095,5.159999847,4.760000229,5.46999979,5.210000038,6.090000153,6.71999979,7.349999905,6.71999979,7.610000134,7.28000021,5.829999924,5.860000134,6.179999828,6.130000114,7.699999809
Algeria,DZA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,20.60000038,24.37999916,26.22999954,27.73999977,31.84000015,28.51499939,25.43000031,26.63999939,28.30400085,29.77000046,27.29999924,25.89999962,23.71999931,17.64999962,15.27000046,12.27000046,13.78999996,11.32999992,10.15999985,9.960000038,9.960000038,10.97000027,9.819999695,10.21000004,11.21000004,10.19999981,10.33399963,10.41600037,10.49499989,12.24800014,11.74699974
East Asia & Pacific (excluding high income),EAP,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2.401315405,2.359841353,2.613497036,2.914822313,2.994670233,3.103800537,3.199838983,3.369274848,3.454363556,3.409896568,3.839633162,4.15617281,4.405710329,4.39768524,4.475528587,4.370858165,4.349052369,4.43509373,4.419516577,4.156933503,4.108492617,4.04812013,4.048746823,4.044788889,4.120140723,4.036854961,3.916340474,3.810234978,3.895632412,4.365928884,4.081647383
